N° Service;N° Contrat;Date création;Date signature;Type;Projet;Réf commande client;Date activation;Statut Saisie;Etat;Type réseau;Réseau;Opérateur commercial;Technologie;Offre;Actif/passif Ftth;Redevance;Redevance (ancien tarif);Périodicité facturation;GTR;Options;GTR (ancien tarif);FAS;FAR;FAD;PDC 12m;PDC FAS/FAR (hors FAD);PDC totale;Type de pack;Type de GTR;Débit;Engagement (mois);Porte de Collecte;Client final;Adresse;Commune;Code Postal;Code INSEE;Longueur FON (m);Source;Zone Technique
FR046240;GDL-025-25-0001;08/01/2025;08/01/2025;Création (A);;CEOS00000966781_SVE;14/02/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;COLT TECHNOLOGIES SERVICES;FttO;BPE;;220,00 €;;Mensuelle;30,00 €;;;360,00 €;;;3 000,00 €;360,00 €;3 360,00 €;BPE 1G _Zone dense_36 mois;GTR 4H 24/7;1G;36;CN001410;Stryker Corporation;16 RUE DE LOMBARDIE;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
FR046455;GDL-025-25-0002;16/01/2025;17/01/2025;Création (A);;CEOS00000966585_SVE;24/02/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;COLT TECHNOLOGIES SERVICES;FttO;BPE;;145,00 €;;Mensuelle;30,00 €;;;360,00 €;;;2 100,00 €;360,00 €;2 460,00 €;BPE 100M _Zone dense_36 mois;GTR 4H 24/7;100M;36;CN001410;Stryker Corporation;85 Avenue des Bruyères;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
FR047017;GDL-507-25-0002;11/02/2025;11/02/2025;Création (A);;493 312;17/03/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;SEWAN;FttO;BPE;;220,00 €;;Mensuelle;;;;360,00 €;;;2 640,00 €;360,00 €;3 000,00 €;BPE 1G _Zone dense_36 mois;;1G;36;CN001006; GE FRUITS;69 Rue Marcel Mérieux;CORBAS;69960;69273;0;COVAGE INFRA;1
FR047694;GDL-004-25-0006;13/03/2025;14/03/2025;Création (A);;252605;18/03/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ADISTA;FttO;BPE;;123,50 €;;Mensuelle;;;;;;;1 482,00 €;;1 482,00 €;BPE 200M _Zone dense_36 mois;;200M;36;CN021590;BLANC ROSSET LYON;5 Rue du Mont-Blanc;CORBAS;69960;69273;0;COVAGE INFRA;1
FR047774;GDL-855-25-0005;18/03/2025;18/03/2025;Création (A);;COM1685605;09/04/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;DESTINY FRANCE PARTENAIRES  OP;FttO;BPE;;145,00 €;;Mensuelle;;;;360,00 €;;;1 740,00 €;360,00 €;2 100,00 €;BPE 200M _Zone dense_36 mois;;200M;36;CN001555;BUFAB FRANCE;21 Avenue du 24 Août 1944;CORBAS;69960;69273;0;COVAGE INFRA;1
FR048117;GDL-234-25-0005;28/03/2025;28/03/2025;Création (A);;LW-2057-GE--0;19/05/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;LINKT;FttO;BPE;;120,00 €;;Mensuelle;;;;;;;1 440,00 €;;1 440,00 €;BPE 50M _Zone dense_36 mois;;50M;36;CN001129;RAS INTERIM;5 Rue du Mont-Blanc;CORBAS;69960;69273;0;COVAGE INFRA;
FR048609;CMD_X_00005236;15/04/2025;22/04/2025;Création (A);;;21/05/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;HUB ONE;FttO;BPE;;109,00 €;;Mensuelle;;;;;;;1 308,00 €;;1 308,00 €;BPE 100M _Zone très dense_36 mois;;100M;36;CN001428;CHRONOPOST - Agence DE CORBAS;6 Avenue Gabriel Péri ;CORBAS;69960;;0;COVAGE INFRA;1
FR048611;CMD_X_00005238;15/04/2025;22/04/2025;Création (A);;;18/09/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;HUB ONE;FttO;BPE;;109,00 €;;Mensuelle;;;;;;1 000,00 €;1 308,00 €;;1 308,00 €;BPE 100M _Zone très dense_36 mois;;100M;36;CN001428;CHRONOPOST - Agence  LYON SANTE FRESH;42 BOULEVARD DES NATIONS;CORBAS;69960;;0;COVAGE INFRA;1
FR048936;CMD_X_00005583;07/05/2025;12/05/2025;Création (A);;;16/06/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;FOLIATEAM OPERATEUR;FttO;BPE;;110,00 €;;Mensuelle;30,00 €;;;360,00 €;;;1 680,00 €;360,00 €;2 040,00 €;BPE 1G _Zone très dense_36 mois;GTR 4H 24/7;1G;36;CN021145;Babolat Corbas;1 avenue du 24 Aout 1944;CORBAS;69960;;0;COVAGE INFRA;1
FR049227;CMD_X_00004716;13/03/2025;22/05/2025;Création (A);;;16/06/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;MC2A;FttO;BPE;;145,00 €;;Mensuelle;;;;360,00 €;;;1 740,00 €;360,00 €;2 100,00 €;BPE 200M _Zone très dense_36 mois;;200M;36;CN021648;MC2A DECINES;35 rue Emile Zola, Rez-de-chaussée;DECINES CHARPIEU;69150;;0;COVAGE INFRA;1
FR049250;CMD_X_00005103;04/04/2025;22/05/2025;Création (A);;;11/06/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;MC2A;FttO;BPE;;145,00 €;;Mensuelle;;;;360,00 €;;;1 740,00 €;360,00 €;2 100,00 €;BPE 200M _Zone très dense_36 mois;;200M;36;CN021648;AGE CORBAS;4 rue du Mont Blanc;CORBAS;69960;;0;COVAGE INFRA;1
FR049464;GDL-234-25-0020;28/05/2025;30/05/2025;Création (A);Projet FLASH V2;DR-8447-WP;15/07/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;LINKT;FttO;BPE;;124,00 €;;Mensuelle;;;;;;;1 488,00 €;;1 488,00 €;BPE 100M _Zone dense_12 mois;;100M;12;;SMEG FRANCE CORBAS;83 RUE MARCEL MERIEUX;CORBAS;69960;;0;COVAGE INFRA;
HB00356;GDL-269-18-0003;20/03/2018;30/03/2018;Création (A);;HBG POP Corbas;02/10/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;LASOTEL;Passif;Hébergement;;170,28 €;;Mensuelle;;;;;;;2 043,36 €;;2 043,36 €;Hebergement;;;12;;POP Corbas;Rue Louis Pradel;CORBAS;69960;69273;0;COVAGE INFRA;
MOB-679-SUQ;GDL-768-25-0004;18/08/2025;18/08/2025;Création (A);;Centreo3183;10/09/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;CORIOLIS TELECOM;FttO;BPE;;135,00 €;;Mensuelle;;;;360,00 €;;;1 620,00 €;360,00 €;1 980,00 €;BPE 100M _Zone dense_36 mois;;100M;36;CN001339;RACINE;Chemin des Pépinières;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
WFD-281-OWG;GDL-466-25-0013;02/07/2025;02/07/2025;Création (A);;DE2501083 - CMR LOCATION;07/08/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;TIMS;FttO;BPEA;;80,00 €;;Mensuelle;;;;360,00 €;;;960,00 €;360,00 €;1 320,00 €;BPEA 20M/100M_48 mois;;/20M100M;36;CN012203;CMR LOCATION;8 Avenue de l'Industrie;CORBAS;69960;69273;0;COVAGE INFRA;
